country,alpha2,subdivision,district,label,region,sub_country
Belgium,BE,VOV,Oost-Vlaanderen,Belgium - Oost-Vlaanderen,,
Belgium,BE,VWV,West-Vlaanderen,Belgium - West-Vlaanderen,,
Belgium,BE,WAL,"Wallonne, R_gion","Belgium - Wallonne, R_gion",,
Belgium,BE,WBR,Brabant wallon,Belgium - Brabant wallon,,
Belgium,BE,WHT,Hainaut,Belgium - Hainaut,,
Belgium,BE,WLG,Lige,Belgium - Lige,,
Belgium,BE,WLX,Luxembourg,Belgium - Luxembourg,,
Belgium,BE,WNA,Namur,Belgium - Namur,,
Burkina Faso,BF,BAL,Bal_,Burkina Faso - Bal_,,
Burkina Faso,BF,BAM,Bam,Burkina Faso - Bam,,
Burkina Faso,BF,BAN,Banwa,Burkina Faso - Banwa,,
Burkina Faso,BF,BAZ,Bazga,Burkina Faso - Bazga,,
Burkina Faso,BF,BGR,Bougouriba,Burkina Faso - Bougouriba,,
Burkina Faso,BF,BLG,Boulgou,Burkina Faso - Boulgou,,
Burkina Faso,BF,BLK,Boulkiemd_,Burkina Faso - Boulkiemd_,,
Burkina Faso,BF,COM,Como_,Burkina Faso - Como_,,
Burkina Faso,BF,GAN,Ganzourgou,Burkina Faso - Ganzourgou,,
Burkina Faso,BF,GNA,Gnagna,Burkina Faso - Gnagna,,
Burkina Faso,BF,GOU,Gourma,Burkina Faso - Gourma,,
Burkina Faso,BF,HOU,Houet,Burkina Faso - Houet,,
Burkina Faso,BF,IOB,Ioba,Burkina Faso - Ioba,,
Burkina Faso,BF,KAD,Kadiogo,Burkina Faso - Kadiogo,,
Burkina Faso,BF,KEN,K_n_dougou,Burkina Faso - K_n_dougou,,
Burkina Faso,BF,KMD,Komondjari,Burkina Faso - Komondjari,,
Burkina Faso,BF,KMP,Kompienga,Burkina Faso - Kompienga,,
Burkina Faso,BF,KOP,Koulp_logo,Burkina Faso - Koulp_logo,,
Burkina Faso,BF,KOS,Kossi,Burkina Faso - Kossi,,
Burkina Faso,BF,KOT,Kouritenga,Burkina Faso - Kouritenga,,
Burkina Faso,BF,KOW,Kourw_ogo,Burkina Faso - Kourw_ogo,,
Burkina Faso,BF,LER,L_raba,Burkina Faso - L_raba,,
Burkina Faso,BF,LOR,Loroum,Burkina Faso - Loroum,,
Burkina Faso,BF,MOU,Mouhoun,Burkina Faso - Mouhoun,,
Burkina Faso,BF,NAM,Namentenga,Burkina Faso - Namentenga,,
Burkina Faso,BF,NAO,Nahouri,Burkina Faso - Nahouri,,
Burkina Faso,BF,NAY,Nayala,Burkina Faso - Nayala,,
Burkina Faso,BF,NOU,Noumbiel,Burkina Faso - Noumbiel,,
Burkina Faso,BF,OUB,Oubritenga,Burkina Faso - Oubritenga,,
Burkina Faso,BF,OUD,Oudalan,Burkina Faso - Oudalan,,
Burkina Faso,BF,PAS,Passor_,Burkina Faso - Passor_,,
Burkina Faso,BF,PON,Poni,Burkina Faso - Poni,,
Burkina Faso,BF,SEN,S_no,Burkina Faso - S_no,,
Burkina Faso,BF,SIS,Sissili,Burkina Faso - Sissili,,
Burkina Faso,BF,SMT,Sanmatenga,Burkina Faso - Sanmatenga,,
Burkina Faso,BF,SNG,Sangui_,Burkina Faso - Sangui_,,
Burkina Faso,BF,SOM,Soum,Burkina Faso - Soum,,
Burkina Faso,BF,SOR,Sourou,Burkina Faso - Sourou,,
Burkina Faso,BF,TAP,Tapoa,Burkina Faso - Tapoa,,
Burkina Faso,BF,TUI,Tui,Burkina Faso - Tui,,
Burkina Faso,BF,YAG,Yagha,Burkina Faso - Yagha,,
Burkina Faso,BF,YAT,Yatenga,Burkina Faso - Yatenga,,
Burkina Faso,BF,ZIR,Ziro,Burkina Faso - Ziro,,
Burkina Faso,BF,ZON,Zondoma,Burkina Faso - Zondoma,,
Burkina Faso,BF,ZOU,Zoundw_ogo,Burkina Faso - Zoundw_ogo,,
Bulgaria,BG,1,Blagoevgrad,Bulgaria - Blagoevgrad,,
Bulgaria,BG,2,Burgas,Bulgaria - Burgas,,
Bulgaria,BG,3,Varna,Bulgaria - Varna,,
Bulgaria,BG,4,Veliko Tarnovo,Bulgaria - Veliko Tarnovo,,
Bulgaria,BG,5,Vidin,Bulgaria - Vidin,,
Bulgaria,BG,6,Vratsa,Bulgaria - Vratsa,,
